ID,Sex,Age,Height,Weight,BMI,Level,Fitness Goal,Fitness Type,,,,
2,Male,18,1.68,47.5,16.83,Underweight,Weight Gain,Muscular Fitness,,,,
9,Male,18,1.68,55,19.49,Normal,Weight Gain,Muscular Fitness,,,,
17,Male,18,1.68,72,25.51,Overweight,Weight Loss,Cardio Fitness,,,,
25,Male,18,1.68,85,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
33,Male,19,1.72,47.5,16.06,Underweight,Weight Gain,Muscular Fitness,,,,
41,Male,19,1.72,55,18.59,Normal,Weight Gain,Muscular Fitness,,,, 
49,Male,19,1.72,75,25.35,Overweight,Weight Loss,Cardio Fitness,,,,
57,Male,19,1.72,90,30.42,Obuse,Weight Loss,Cardio Fitness,,,,
65,Male,20,1.61,46,17.75,Underweight,Weight Gain,Muscular Fitness,,,,
73,Male,20,1.61,60,23.15,Normal,Weight Gain,Muscular Fitness,,,,
81,Male,20,1.61,72,27.78,Overweight,Weight Loss,Cardio Fitness,,,,
89,Male,20,1.61,91,35.11,Obuse,Weight Loss,Cardio Fitness,,,,
97,Male,21,1.65,48,17.63,Underweight,Weight Gain,Muscular Fitness,,,,
105,Male,21,1.65,58,21.3,Normal,Weight Gain,Muscular Fitness,,,,
113,Male,21,1.65,70,25.71,Overweight,Weight Loss,Cardio Fitness,,,,
121,Male,21,1.65,84,30.85,Obuse,Weight Loss,Cardio Fitness,,,,
129,Male,22,1.67,48,17.21,Underweight,Weight Gain,Muscular Fitness,,,,
137,Male,22,1.67,58,20.8,Normal,Weight Gain,Muscular Fitness,,,,
145,Male,22,1.67,70,25.1,Overweight,Weight Loss,Cardio Fitness,,,,
153,Male,22,1.67,84,30.12,Obuse,Weight Loss,Cardio Fitness,,,,
161,Male,23,1.6,42,16.41,Underweight,Weight Gain,Muscular Fitness,,,,
169,Male,23,1.6,52,20.31,Normal,Weight Gain,Muscular Fitness,,,,
177,Male,23,1.6,70,27.34,Overweight,Weight Loss,Cardio Fitness,,,,
185,Male,23,1.6,84,32.81,Obuse,Weight Loss,Cardio Fitness,,,,
193,Male,24,1.65,42,15.43,Underweight,Weight Gain,Muscular Fitness,,,,
201,Male,24,1.65,52,19.1,Normal,Weight Gain,Muscular Fitness,,,,
209,Male,24,1.65,70,25.71,Overweight,Weight Loss,Cardio Fitness,,,,
217,Male,24,1.65,84,30.85,Obuse,Weight Loss,Cardio Fitness,,,,
225,Male,25,1.62,50,19.05,Normal,Weight Gain,Muscular Fitness,,,,
233,Male,25,1.62,62,23.62,Normal,Weight Gain,Muscular Fitness,,,,
241,Male,25,1.62,79,30.1,Obuse,Weight Loss,Cardio Fitness,,,,
249,Male,25,1.62,88,33.53,Obuse,Weight Loss,Cardio Fitness,,,,
257,Male,26,1.62,50,19.05,Normal,Weight Gain,Muscular Fitness,,,,
258,Male,26,1.73,51,17.04,Underweight,Weight Gain,Muscular Fitness,,,,
265,Male,26,1.73,56,18.71,Normal,Weight Gain,Muscular Fitness,,,,
273,Male,26,1.73,76,25.39,Overweight,Weight Loss,Cardio Fitness,,,,
281,Male,26,1.73,91,30.41,Obuse,Weight Loss,Cardio Fitness,,,,
289,Male,27,1.74,52,17.18,Underweight,Weight Gain,Muscular Fitness,,,,
